City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Waipawa,-41.4122,175.5153,52.43,94,100,24.4,light rain
198,Lamar,33.6668,-95.5836,38.86,34,0,8.05,clear sky
199,Qaanaaq,77.484,-69.3632,-18.94,48,0,8.77,clear sky
200,Pointe-Noire,-4.7761,11.8635,77.7,90,100,2.13,overcast clouds
201,Solano,38.2333,-121.9511,74.25,55,0,4.61,clear sky
202,Baoding,38.8511,115.4903,28.2,88,100,8.84,snow
203,Sibolga,1.7427,98.7792,77.41,83,100,2.98,overcast clouds
204,Tarko-Sale,64.9225,77.785,-11.36,94,6,13.67,clear sky
205,Tukrah,32.5341,20.5791,51.1,74,4,5.66,clear sky
206,Bonavista,48.6499,-53.1147,43.12,74,100,26.13,overcast clouds
207,Junin,-34.5838,-60.9433,55.8,54,0,7.52,clear sky
208,Thompson,55.7435,-97.8558,-14.64,64,20,2.3,few clouds
209,Teya,60.3778,92.6267,-18.2,99,29,2.24,scattered clouds
210,Beringovskiy,63.05,179.3167,-18.42,91,7,7.14,clear sky
211,Provideniya,64.3833,-173.3,-4.5,87,10,4.16,clear sky
212,Alice Springs,-23.7,133.8833,85.55,20,0,11.5,clear sky
213,Souillac,-20.5167,57.5167,79.18,94,75,8.05,light rain
214,Vilhena,-12.7406,-60.1458,68.9,98,100,2.59,moderate rain
215,Altay,47.8667,88.1167,8.1,90,100,2.98,overcast clouds
216,Adrar,20.5022,-10.0711,61.07,27,56,10.6,broken clouds
217,Vuktyl,63.8567,57.3094,7.38,93,100,7.67,overcast clouds
218,Basoko,1.2391,23.616,75.34,60,91,2.3,overcast clouds
219,Bilibino,68.0546,166.4372,-21.46,97,99,1.9,overcast clouds
220,Sukhobuzimskoye,56.5,93.2728,-16.31,100,5,1.25,clear sky
221,Callaway,30.153,-85.5699,60.01,75,100,3.44,overcast clouds
222,Klaksvik,62.2266,-6.589,40.12,97,100,25.61,overcast clouds
223,Pangai,-19.8,-174.35,82.0,76,7,19.37,clear sky
224,La Primavera,5.4906,-70.4092,84.92,45,100,4.21,overcast clouds
225,Escanaba,45.7453,-87.0646,9.21,72,100,0.0,overcast clouds
226,Margate,51.3813,1.3862,44.96,76,100,8.01,overcast clouds
227,Cabo San Lucas,22.8909,-109.9124,76.3,58,38,3.85,scattered clouds
228,Moree,-29.4667,149.85,78.84,32,0,6.15,clear sky
229,Puro,12.4841,123.3827,80.01,79,100,13.06,overcast clouds
230,Kirakira,-10.4544,161.9205,85.03,69,43,4.03,scattered clouds
231,Kieta,-6.2167,155.6333,85.24,64,100,3.85,overcast clouds
232,Taltal,-25.4,-70.4833,68.2,80,5,4.83,clear sky
233,Chipinge,-20.1883,32.6236,59.9,91,38,3.91,scattered clouds
234,Lexington,37.9887,-84.4777,30.33,74,100,6.91,overcast clouds
235,High Level,58.5169,-117.136,6.91,85,100,6.91,light snow
236,Valdivia,-39.8142,-73.2459,71.69,43,17,4.05,few clouds
237,Gisborne,-38.6533,178.0042,65.95,76,100,14.67,overcast clouds
238,Umm Kaddadah,13.6017,26.6876,58.06,21,0,12.39,clear sky
239,Port Alfred,-33.5906,26.891,75.36,93,100,16.15,overcast clouds
240,San Patricio,28.017,-97.5169,51.66,62,0,20.04,clear sky
241,Cidreira,-30.1811,-50.2056,74.37,81,55,19.04,broken clouds
242,Quatre Cocos,-20.2078,57.7625,78.91,86,13,13.71,moderate rain
243,Channel-Port Aux Basques,47.5702,-59.1367,37.8,97,100,22.39,overcast clouds
244,Tutoia,-2.7619,-42.2744,84.18,84,92,11.21,overcast clouds
245,Songling,31.1933,120.7176,46.08,91,100,7.49,light rain
246,Saskylakh,71.9167,114.0833,-5.85,75,49,7.74,scattered clouds
247,Saint-Georges,12.0564,-61.7485,77.65,73,97,17.31,overcast clouds
248,Lishui,28.4604,119.9103,47.03,96,100,3.53,light rain
249,Arman,59.7,150.1667,0.5,72,84,5.55,broken clouds
250,Gilgit,35.9221,74.3087,22.6,54,91,3.31,overcast clouds
251,Lebu,-37.6167,-73.65,58.12,90,100,8.61,overcast clouds
252,Djougou,9.7085,1.666,76.51,14,49,2.66,scattered clouds
253,Saint George,37.1041,-113.5841,64.99,12,0,4.61,clear sky
254,Huilong,31.8111,121.655,46.04,90,100,10.76,moderate rain
255,Chara,56.9064,118.2631,-21.93,87,54,0.58,broken clouds
256,Ilulissat,69.2167,-51.1,12.22,79,75,10.36,light snow
257,Pevek,69.7008,170.3133,-19.34,97,100,8.97,overcast clouds
258,Healdsburg,38.6105,-122.8692,75.2,51,0,6.91,clear sky
259,Robertson,36.5167,-86.8667,30.78,71,100,8.05,overcast clouds
260,Naryan-Mar,67.6713,53.087,7.77,96,99,9.64,overcast clouds
261,Farah,32.5,62.5,48.09,51,100,3.87,overcast clouds
262,Ust-Kut,56.7938,105.7672,-30.32,100,91,2.1,overcast clouds
263,Nantucket,41.2835,-70.0995,50.13,82,0,12.66,clear sky
264,Soroti,1.7146,33.6111,67.53,74,9,6.08,clear sky
265,Liaocheng,36.4439,115.9647,34.65,69,11,8.21,few clouds
266,Homer,59.6425,-151.5483,35.76,92,100,0.0,overcast clouds
267,Salalah,17.0151,54.0924,73.49,64,20,3.44,few clouds
268,Usinsk,65.9939,57.5281,7.38,95,100,15.88,light snow
269,Mana,5.6592,-53.7767,75.51,90,84,8.75,broken clouds
270,Rincon,32.296,-81.2354,59.13,51,100,0.0,overcast clouds
271,Dombarovskiy,50.7587,59.5386,9.52,99,100,4.14,overcast clouds
272,Mandalgovi,45.7625,106.2708,-9.09,86,6,6.26,clear sky
273,Whitehorse,60.7161,-135.0538,38.17,41,20,8.05,few clouds
274,Caxito,-8.5785,13.6643,73.42,92,93,1.14,overcast clouds
275,Harper,4.375,-7.7169,78.44,86,10,6.62,clear sky
276,Namyslow,51.0759,17.7228,33.58,65,82,7.56,broken clouds
277,Plettenberg Bay,-34.0527,23.3716,68.56,90,100,5.32,overcast clouds
278,Saint Anthony,45.0205,-93.218,6.26,63,100,3.44,overcast clouds
279,Uige,-7.6087,15.0613,66.74,93,100,1.41,overcast clouds
280,Biga,40.2281,27.2422,48.06,87,100,15.35,overcast clouds
281,Hobyo,5.3505,48.5268,75.99,73,100,12.91,overcast clouds
282,Takoradi,4.8845,-1.7554,78.21,87,100,6.69,overcast clouds
283,Maragogi,-9.0122,-35.2225,79.81,82,8,10.6,clear sky
284,Urengoy,65.9667,78.3667,-9.98,93,6,12.88,clear sky
285,Kununurra,-15.7667,128.7333,91.38,66,3,4.61,clear sky
286,Sur,22.5667,59.5289,68.18,58,0,5.66,clear sky
287,Itarema,-2.9248,-39.9167,78.73,83,52,9.55,broken clouds
288,Broken Hill,-31.95,141.4333,88.2,23,100,17.31,overcast clouds
289,Klyuchi,52.2667,79.1667,14.58,94,100,11.83,overcast clouds
290,Mehamn,71.0357,27.8492,26.37,70,76,15.73,light snow
291,Veraval,20.9,70.3667,67.33,35,2,8.41,clear sky
292,Georgetown,5.4112,100.3354,82.33,78,20,6.91,few clouds
293,Korkino,54.8913,61.3969,6.64,98,79,4.38,broken clouds
294,Ucluelet,48.9329,-125.5528,50.09,83,74,3.87,broken clouds
295,Mackay,-21.15,149.2,82.69,68,24,20.04,few clouds
296,Krasnoborsk,61.5598,45.934,8.98,97,100,4.85,overcast clouds
297,Kangaatsiaq,68.3065,-53.4641,-0.98,84,100,2.66,overcast clouds
298,Staraya Russa,57.9944,31.3608,31.91,84,98,14.99,overcast clouds
299,Aykhal,66.0,111.5,-8.9,78,14,3.89,few clouds
300,Warwick,41.7001,-71.4162,48.7,51,75,8.05,broken clouds
301,Thai Nguyen,21.5928,105.8442,55.18,90,100,4.56,overcast clouds
302,Cartagena Del Chaira,1.3349,-74.8429,77.99,62,74,2.89,broken clouds
303,General Pico,-35.6566,-63.7568,57.34,51,0,7.38,clear sky
304,Sitka,57.0531,-135.33,42.69,75,75,0.0,broken clouds
305,Ust-Nera,64.5667,143.2,-26.45,96,66,2.95,broken clouds
306,Viedma,-40.8135,-62.9967,70.09,30,72,6.44,broken clouds
307,Hastings,50.8552,0.5729,46.0,78,100,20.8,overcast clouds
308,Vila Do Maio,15.1333,-23.2167,74.19,70,100,20.11,overcast clouds
309,Milan,45.4643,9.1895,41.88,63,0,2.3,clear sky
310,Palmer,42.1584,-72.3287,43.41,59,75,13.8,broken clouds
311,Motygino,58.1831,94.7592,-14.21,97,9,5.53,clear sky
312,Zonguldak,41.25,31.8333,35.35,96,100,2.68,overcast clouds
313,Dikson,73.5069,80.5464,-4.14,87,100,25.05,overcast clouds
314,Zlatoust,55.1711,59.6508,8.58,98,93,2.64,overcast clouds
315,Nouadhibou,20.931,-17.0347,66.18,72,100,21.85,overcast clouds
316,Owando,-0.4819,15.8999,77.45,63,84,3.49,broken clouds
317,Kilindoni,-7.9139,39.6668,79.9,79,100,7.81,overcast clouds
318,Turukhansk,65.8167,87.9833,-12.69,83,1,8.48,clear sky
319,Boundiali,9.5217,-6.4869,70.95,16,5,4.32,clear sky
320,Mashhad,36.297,59.6062,37.54,100,100,6.91,mist
321,Aswan,24.0934,32.907,55.06,52,0,9.69,clear sky
322,Jiexiu,37.0244,111.9125,35.01,60,48,1.68,light snow
323,Vacaria,-28.5122,-50.9339,65.71,60,96,3.6,moderate rain
324,Hambantota,6.1241,81.1185,76.21,84,52,5.86,light rain
325,Scarborough,54.2797,-0.4044,48.07,88,100,10.0,overcast clouds
326,Bay Roberts,47.5999,-53.2648,47.95,70,83,8.99,broken clouds
327,Yulara,-25.2406,130.9889,89.44,17,0,5.75,clear sky
328,Bathsheba,13.2167,-59.5167,77.61,69,40,17.27,scattered clouds
329,Tettnang,47.6667,9.6,35.87,82,75,2.3,broken clouds
330,Maxixe,-23.8597,35.3472,73.42,78,52,6.6,broken clouds
331,Port Hardy,50.6996,-127.4199,46.76,87,75,2.3,broken clouds
332,Vardo,70.3705,31.1107,26.4,67,3,16.8,clear sky
333,Monterey,36.2505,-121.2516,73.6,31,100,5.88,overcast clouds
334,Anshun,26.25,105.9333,36.28,85,100,5.12,overcast clouds
335,Norman Wells,65.282,-126.8329,-12.96,70,75,8.05,broken clouds
336,Piedras Negras,28.7,-100.5167,57.78,41,0,11.5,clear sky
337,Bollnas,61.3482,16.3946,35.38,95,100,12.53,overcast clouds
338,Nizhniy Kuranakh,58.8353,125.4869,-23.55,98,77,0.45,broken clouds
339,Cadiz,36.5,-5.75,56.39,96,89,5.48,overcast clouds
340,Las Cruces,32.3123,-106.7783,51.35,42,0,5.99,clear sky
341,Mozarlandia,-14.7447,-50.5706,72.19,97,96,4.81,overcast clouds
342,Bata,1.8639,9.7658,78.76,88,83,4.32,broken clouds
343,Guararapes,-21.2608,-50.6428,75.81,71,65,6.35,broken clouds
